ip,user,time,method,url,protocol,status,size
127.0.0.1,-,10/Oct/2024:13:55:36 +0000,GET,/index.html,HTTP/1.1,200,1024
192.168.1.10,user1,11/Oct/2024:14:12:01 +0000,POST,/login,HTTP/1.1,302,512
10.0.0.5,-,12/Oct/2024:09:22:18 +0000,GET,/images/logo.png,HTTP/1.1,200,2048
203.0.113.45,-,12/Oct/2024:10:01:44 +0000,GET,/admin,HTTP/1.1,403,256
198.51.100.23,-,12/Oct/2024:11:47:03 +0000,GET,/api/data,HTTP/1.1,500,128
172.16.0.7,user2,13/Oct/2024:08:33:59 +0000,PUT,/profile,HTTP/1.1,200,768
203.0.113.99,-,13/Oct/2024:12:15:27 +0000,DELETE,/post/42,HTTP/1.1,404,64
192.168.1.11,user3,14/Oct/2024:16:44:12 +0000,GET,/dashboard,HTTP/1.1,200,4096
10.0.0.8,-,14/Oct/2024:17:55:01 +0000,GET,/favicon.ico,HTTP/1.1,304,0
198.51.100.77,-,15/Oct/2024:07:21:45 +0000,POST,/api/upload,HTTP/1.1,201,1536
